job_title,category,inferred_state,post_date,job_description
scholarship program coordinator education support,Education,New south wales,14 Jan 2020,about the business the harding miller education foundation provides scholarships to high potential girls studying in australian government high schools we currently support students across schools across australia and we are growing we are a national charity and small organisation powered by volunteers about the role the scholarship program coordinator primary focus is to coordinate the day to day administration of the scholarship program with the support of the program manager this includes managing all phone and info inbox inquiries supporting scholarship recipients and their families distributing and monitoring tools to scholarship recipients maintaining up to date records across all systems building strong relationships with schools and coaches and creating communications content for scholarship applicants recipients as well as their families and schools the program coordinator also administers the annual scholarship selection process and annual data collection through surveys at times this role provides support to the events coordinator in the preparations and running of scholarship program events the program coordinator also undertakes some office management duties and provides administrative and project support to the director as required skills and experience skills word processing and microsoft office word excel powerpoint crm microsoft dynamics software knowledge or the capacity to quickly learn online forms and marketing tools including award force canva and mail chimp or the capacity to quickly learn typing skills analytical skills interpersonal skills core capabilities and personal attributes strong organisation skills effective communication skills to manage and resolve scholarship or stakeholder queries amazing administrative experience and skills spectacular attention to detail works well in an environment in which diverse personalities and backgrounds are valued and respected show significant initiative to perform tasks unsupervised remains calm and professional under pressure demonstrates the foundation values compassion effectiveness helping tolerance courage justice freedom passion benefits and perks this is an opportunity to take a position in a small dynamic team who is powering one of the best scholarship programs in australia we offer flexible work hours during school holidays and a competitive salary australian taxation laws provide generous tax concessions for not for profit organisations like harding miller education foundation one such concession is an exemption for fringe benefits tax fbt this means a proportion of your wages can be received as a reimbursement of personal expenses and no income tax is payable on this money in effect a proportion of your salary each pay is tax free salary packaging you can package up to the allowable maximum of each fbt year the foundation has generous leave entitlements available to full time staff and we have a culture that facilitates flexible working arrangements to apply if you are passionate about what you do committed to making a difference and you are interested in this role we d love to hear from you please apply today click on apply for this job and make sure to include an up to date resume and a cover letter too for any information or questions about the role please contact either cara varian cara hardingmiller org au or caroline hill caroline hardingmiller org au or call on closing date wednesday th february the application form will include these questions which of the following statements best describes your right to work in australia what s your expected annual base salary do you have a current australian driver s licence what s your highest level of education do you have experience in an administration role 
school support officer,Education,Victoria,2020-03-12,full time fixed term year position located in east melbourne catholic education melbourne cem is a dynamic education service provider to catholic primary secondary and special schools in the archdiocese of melbourne more than staff work across the head office in east melbourne and four regional offices in the north east south and west cem provides services to schools in areas as diverse as curriculum re finance ict marketing and communications student wellbeing legal planning and industrial relations this community is committed to the safety wellbeing and protection of all children in our care about the position catholic education melbourne is in the process of building its capacity to deliver technology in support of schools and catholic education into the future a significant investment is being made in the integrated catholic online network icon project a collaborative project between victorian catholic schools and the four victorian catholic education offices in the archdiocese of melbourne and the dioceses of ballarat sale and sandhurst icon will build on the catholic tradition of working together to improve all schools by facilitating collaboration and pooling of resources and strategies to improve student learning across victorian catholic education to capitalise on and enhance the collective wisdom of catholic educators and administrators a core icon strategy is to implement enterprise student information system esis enterprise finance efin system and enterprise hr payroll ehr systems for victorian catholic schools and offices in this position you will be responsible for assist individual schools in learning and understanding the icon platform to ensure the introduction of best practice processes salary range for this position is per annum commensurate with skills and experience plus superannuation the school support officer will support schools in the use of the icon applications supporting schools in implementing the administration processes testing the icon solution against these processes liaise closely with the icon school consulting services icon shared services business advisory services and ir team to ensure a strong knowledge base for ongoing support of schools post the icon implementation phase assist and support reporting processes and analysis in schools throughout the region other duties as required by the executive director the successful applicant will have demonstrated experience in administration and accounting in a school or education setting experience using enterprise packages preferably technologyone or synergetic a current victorian driver s license and vehicle experience in school administration requirements preferable the successful applicant will also be subject to a working with children check and a criminal record check candidates must hold the appropriate working rights for australia to be considered for this position whats in it for you generous salary and conditions professional development opportunities work life balance how to apply further information about the position including a detailed position description and application requirements can be accessed via the job search tab on the cem website at www cem edu au and entering the position title in the keyword search field applicants need to provide a separate statement addressing the key selection criteria a cover letter an up to date curriculum vitae the contact details for two employment referees referees will only be contacted with your consent applications can be uploaded via the apply tab on the catholic education melbourne website all enquiries can be directed to the recruitment officer at recruitment cem edu au or applications close pm thursday march recruitment agencies thank you for thinking of us however we do endeavour to fill our opportunities through direct channels wherever possible if we find that we do need agency assistance we ll be in touch in applying for a position with catholic education melbourne cem you will be asked to provide certain personal information to enable your application to be considered any personal information that is provided to cem in relation to an application for employment will be handled in accordance with cem s obligations under the privacy act cth to find out more about how cem handles personal information you are encouraged to read the cem privacy policy which can be found on the website 
english tutor,Education,Victoria,10 Jan 2020,reading town academy is the private english learning centre offering a top quality english reading and writing skills for children in years k it has unique and proven curriculum designed to improve english language literacy skills effectively job description teaching small group classes max students teacher s guide and teaching materials are provided following the teacher s guideline and curriculum material provided by the centre as we take quality children s picture books chapter books and classics as our main textbooks the successful teachers are required to read certain number of books before they start qualification requirements qualified and experienced primary school or high school teachers of nsw fluent english speaking teachers with excellent command of spoken and written english experience in storytelling specialty in teaching writing and or coaching debate team within school is a bonus to apply please contact doreen campus manager readingtownepping gmail com resume required the application form will include these questions how many years experience do you have as a tutor do you have experience working with children what s your highest level of education 
education schools facilitator part time role,Education,New south wales,12 Jan 2020,presenter facilitator to travel to schools with hands on activities please phone for interview we are a company that has been operating for the past years and are looking for a fun reliable well presented person to travel to schools with our hands on activities to present to students for their participation you would have to set up of our hands on activities in school halls to present to students you don t have to be a maths expert full training there is no selling involved our staff make the bookings and pass them on to you in advance travelling to schools around metro melbourne suburbs plus vic country areas country travel involved with booked block weeks away into country schools must feel comfortable presenting to students must have a vehicle with tow bar small trailer supplied with the activities contracted work is during school terms only suit a flexible person who can travel to schools each day plus block weeks away out of the metro area working during school hours earn an average between per week depending on how many bookings there are in the week one school per day please view our web site www worldofmaths com you don t have to be a maths expert our aim is to make maths fun for kids and show how maths is related to real life situations tim or sophie world of maths please call only for interview 
academic support worker,Education,Victoria,9 Jan 2020, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder max width px min width px border px solid a text align left font family helvetica arial job template__wrapper tempborder templogo text align center padding font size line height job template__wrapper tempborder tempmargin margin px padding px px job template__wrapper tempborder jobtitle color cc f text align left margin padding px display block font size px line height em job template__wrapper tempborder h color cc f important text align left margin padding px display block font size px line height em job template__wrapper tempborder h color cc f important text align left margin padding px display block font size px line height em job template__wrapper tempborder h color cc f important text align left margin padding px display block font size px line height em job template__wrapper tempborder subheading color cc f important text align left margin padding px display block font size px line height em job template__wrapper tempborder templatebullet li color text align left margin left px important font size px font weight bold job template__wrapper tempborder templatetext li color important text align left margin left px font size px job template__wrapper tempborder templatetext job template__wrapper tempborder templatetext p color text align left font size px line height em job template__wrapper tempborder details color cc f text align left padding top px font size px line height em job template__wrapper templatetext ol ul li list style type disc job template__wrapper tempborder tempbase background url https seekcdn com templates _ a_footer png left bottom no repeat color cc f text align left padding px px px font size px font weight bold academic support worker there are opportunities for caring and committed casual academic support workers to assist students with a disability to ensure they have equal participation in educational opportunities within the university your key responsibilities will be foster and support students so they can gain a rewarding education maintaining a clear accurate and objective record of class notes maintain student confidentiality and privacy in relation to their disability and support needs support students by recapping key points during or at the end of class key selection criteria strong interpersonal communication and organisational skills passionate knowledgeable innovative and dedicated to providing support to students with a disability awareness of and respect for the rights of students with disabilities ability to provide support while facilitating independence and self determination punctuality and reliability neat and accurate note taking skills work locations footscray city cbd st albans sunshine werribee applicants who have a certificate in disability support care or have previous working experience with students with autism and acquired brain injuries will be held in high regard good typing and intermediate computer skills will be required if you are seeking a casual position where you can really make a difference please apply by clicking the link below or contacting shane seneviratne from programmed professionals shane seneviratne programmed com au who we are as one of australia s largest employers we work with great companies all around australia and new zealand to give you the very best permanent contract and temp work at programmed we are committed to creating a safe and inclusive environment which values and respects diverse styles backgrounds experiences and perspectives we welcome and encourage women people of aboriginal and torres strait islander descent and people from diverse backgrounds to apply so it s over to you if you would like to join our team please apply now to learn more about working with programmed we encourage you to visit our website programmed com au there are opportunities for caring and committed casual academic support workers to assist students with a disability to ensure they have equal participation in educational opportunities within the university your key responsibilities will be foster and support students so they can gain a rewarding education maintaining a clear accurate and objective record of class notes maintain student confidentiality and privacy in relation to their disability and support needs support students by recapping key points during or at the end of class key selection criteria strong interpersonal communication and organisational skills passionate knowledgeable innovative and dedicated to providing support to students with a disability awareness of and respect for the rights of students with disabilities ability to provide support while facilitating independence and self determination punctuality and reliability neat and accurate note taking skills work locations footscray city cbd st albans sunshine werribee applicants who have a certificate in disability support care or have previous working experience with students with autism and acquired brain injuries will be held in high regard good typing and intermediate computer skills will be required if you are seeking a casual position where you can really make a difference please apply by clicking the link below or contacting shane seneviratne from programmed professionals shane seneviratne programmed com au
academic manager,Education,Victoria,10 Jan 2020,main responsibilities review of training and assessment strategies and delivery review of training and assessment resources and its delivery curriculum review and validation trainers management and performance review professional development of trainers compliance with registration requirements compliance with the standards for registered training organisations registration across the operations including training and assessment undertaken by other bodies or persons on its behalf management and monitoring of the implementation of vet programs within the organisation monitoring and supervision of record keeping and file management ensure the efficient effective and quality delivery of city institute courses students management students support services active participation on the continuous improvement assists with compliance with standards for rtos additional responsibilities assists trainers with their daily tasks assists with administration duties and students counselling provide assistance to trainers and students as required the successful applicant must be suitably qualified and experienced and possess the following qualities relevant tertiary degree minimum years education experience with a minimum years as a head trainer principal or executive valid certificate iv in training assessment evidence of vocational competencies proven knowledge of training packages srto aqtf esos and cricos provide evidence of knowledge of vet systems and registration requirements good communication and interpersonal skills great level of english it computer skills are essential appropriate australian work permit first aid certificate and or counselling certificate are welcome
school cleaner,Education,Victoria,2020-03-24,about the company cleanworks australia is one of australia s largest commercial cleaning companies and the winner of the australian super excellence awards for outstanding company in the cleaning industry we provide high quality ongoing one off and specialist cleaning services to businesses nationally across a wide range of industries we have been operational for the past years and we are growing rapidly about the role we currently have number of casual positions available working on schools in toowoomba highfields this role will primarily by on call with the opportunity to progress to permanent hours either part time or full time you will be responsible for covering shifts that will have you cleaning classrooms aquatic centres gyms and offices experience is definitely a must as you need to be able to clean different areas with minimal instruction and training shifts will primarily be afternoon shift between pm to pm and may require travelling between sites occasionally maybe asked to work a morning shift between am to pm requirements minimum years cleaning experience ability to be flexible and get the job done with minimal instruction attention to details and take pride in your work police clearance or ability to get one own reliable vehicle what s on offer great rates on offer opportunity to progress to permanent position great team environment unique awards program that includes holidays how to apply please click the apply button to send through your resume please note that we do not accept any calls in the office regarding advertised roles and due to the number of applications received only successful applicants will be contacted
stores assistant education department,Education,Victoria,2020-03-24,an education department in western sydney has an immediate requirement for a stores assistant your new company an education department in western sydney has an immediate requirement for a stores assistant to carry out a diverse range of duties on a single site your new role you will be required to supervise stores conduct minor maintenance duties accept incoming deliveries monitor stock levels oil machinery paint small tools prepare and issue tools equipment required by staff and students and other duties relevant to the position what you ll need to succeed in order to be considered for this role you will need a valid working with children check what you ll get in return this is a fantastic opportunity for an experienced stores assistant with a valid working with children check to get their foot in the door with a large government department earning an attractive hourly rate of super per hour what you need to do now if you are interested in this fantastic opportunity for a stores assistant please call joshua bartels from the hays facilities management team on or email joshua bartels hays com au to find out more sa licence number lhs 
educational programs support officer,Education,Queensland,2020-02-25,the position the primary role of the educational programs support officer with cpee is to provide key administrative and operational support in respect of students unit chairs the academic board and its sub committees this position would suite those with a working history in the higher education sector specifically those with student services administrative experience in respect of this role the incumbent will report to the higher education manager hem the position location is cpee offices station street box hill north victoria conditions and remuneration a remuneration range of k pa plus normal employer superannuation and leave entitlements this is a day per week part time role with hours and remuneration adjusted on a pro rata basis key responsibilities the appointee will be the first point of contact for new and existing cpee students undertaking cpee academic courses and undertake the related administrative tasks including liaising with clients maintenance of records diary scheduling data entry reporting and evaluation use of cpee client database and management systems general office administrative support as required key skills excellent organisation skills together with effective time management experience in microsoft office capacity to work under minimal supervision arrange and manage key events and activities excellent oral and written communication skills some experience in a busy client customer service role would be well regarded selection criteria an understanding of the higher education sector would be advantageous a qualification in business administration or similar is desirable although not essential about us the centre for pavement engineering education inc cpee is a not for profit incorporated association accredited as a private provider of higher post graduate education cpee maintains strong links with local government industry state road transport agencies research bodies and consulting engineers throughout australia cpee specialises in the provision of distance learning programs servicing the roads pavements and asset management and issues accredited postgraduate certificate and masters of technology university level awards application process applications consisting of a cover letter curriculum vitae addressing the key skills and selection criteria are required referees including contact details must also be provided visit our website at http www pavementeducation edu au the application form will include these questions which of the following statements best describes your right to work in australia which of the following microsoft office products are you experienced with do you have experience in an administration role do you have experience in a data entry role what s your preferred work type 
part time casual oosh educator,Education,Australian capital territory,2020-02-24,about the business and the role our lady of lourdes olol catholic school at seven hills before after school care and vacation care is seeking highly motivated and professional carers they would be joining our dedicated team to assist with the afternoon shift between pm pm the centre is licensed for children with modern facilities and is a fully accredited not for profit organisation and run by a parent committee within the olol school grounds to be successful it is mandatory you hold a current working with children s check in addition a successful candidate worker will need to demonstrate the ability to show initiative whilst engaging the children and a willingness to develop the part time role is a permanent after school care position working from pm to pm monday to friday and be available to work before school care on a casual basis the casual role would suit anyone who is seeking flexible part time work as it is a great way to gain a good work life balance or you wish to start your career in the industry if you would like to learn more about this opportunity please apply for the position and we can share more information with you job tasks and responsibilities communicate appropriately with the children and families able to use your initiative and motivate the children maintain safety for all children applications close friday th march the application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check do you have experience working with children 
property manager school hours,Education,Tasmania,2020-03-31,the client our client is a long standing prestigious real estate agency located on the city fringe a stone s throw from the cbd they are highly respected and envied within the real estate industry and they now have a rare opportunity to join their hard working property management team to provide extra support this position is ideal for an experienced property manager returning to work who is needing reduced hours the role taking over a very small portfolio currently managed by the head of department overflow property management duties as required new pcr s are outsourced plenty of support from an exceptional head of department strong admin support from an experienced pm assistant the successful candidate minimum x years property management experience corporate presentation confident demeanor high level customer service a team player who wants to add value to the department and have a laugh at the same time proficient with rest my desktop software benefits perks work with one of the top premium agencies in perth rare opportunity to work school hours have family time loud fun office that don t take themselves too seriously parking onsite melbourne cup lunch christmas at rottnest along with other staff incentives celebrations please note candidates that do not have the relevant experience listed in the ad will not be considered if you have what it takes then hit apply now to find out more about this agency please call justine walker or nikki white gough on or hit apply now 
school cleaner,Education,Victoria,2020-02-24,about the company cleanworks australia is one of australia s largest commercial cleaning companies and the winner of the australian super excellence awards for outstanding company in the cleaning industry we provide high quality ongoing one off and specialist cleaning services to businesses nationally across a wide range of industries we have been operational for the past years and we are growing rapidly about the role we currently have number of casual positions available working on schools in toowoomba highfields this role will primarily by on call with the opportunity to progress to permanent hours either part time or full time you will be responsible for covering shifts that will have you cleaning classrooms aquatic centres gyms and offices experience is definitely a must as you need to be able to clean different areas with minimal instruction and training shifts will primarily be afternoon shift between pm to pm and may require travelling between sites occasionally maybe asked to work a morning shift between am to pm requirements minimum years cleaning experience ability to be flexible and get the job done with minimal instruction attention to details and take pride in your work police clearance or ability to get one own reliable vehicle what s on offer great rates on offer opportunity to progress to permanent position great team environment unique awards program that includes holidays how to apply please click the apply button to send through your resume please note that we do not accept any calls in the office regarding advertised roles and due to the number of applications received only successful applicants will be contacted
education support,Education,Victoria,2020-03-06,education support geelong x permanent full time positions due to further expansion of our education services mackillop education is seeking passionate and highly skilled education support workers who are committed to the catholic ethos and to enhancing the learning outcomes for children and young people who are disengaged from education about mackillop education the central goal of mackillop family services is to support to foster hope and to promote justice for children young people and their families particularly those who experience distress disadvantage and abuse education is central to that goal children in out of home care are a high priority client group of mackillop education as are adolescents at risk of leaving school without vocational skills mackillop education currently provides education support to these young people through outreach programs from three sites geelong maidstone and warrnambool we offer education support through our children in residential care programs circ and the western education support team program west our schools in geelong foundation vcal maidstone years and caulfield currently focussed on the primary years cater for students who are disengaged or at risk of disengaging from education the education programs provide flexible learning pathways and they equip participants with the skills to either remain at mackillop school re enter mainstream school or for senior students to take up employment or further education options including traineeships and apprenticeships about the role the primary objective of the education support role is to work collaboratively with classroom staff by supporting them to enhance the learning outcomes of students this position is situated within the mackillop education geelong a p school that provides education to students who are disengaged or at risk of disengaging from education this role will report to and receive direct supervision from the education support leader this is a full time permanent position this position will be primarily based in geelong some travel may be required about you we are seeking a dynamic and passionate educator who is committed to working with children our successful applicant will have a strong desire to work collaboratively to support students with diverse and complex needs key selection criteria include relevant work experience and a minimum diploma qualification or certificate iv in education support or special needs an understanding of teaching and learning support strategies and the ability to implement these as required demonstrated high level written and verbal communication skills and high level interpersonal skills including a capacity to develop constructive relationships with students care givers community service providers and other staff demonstrated ability and experience in understanding the unique nature of providing high quality educational experiences to young people with multiple and complex needs including those marginalised from school and society through trauma abuse and neglect demonstrated commitment and capacity to actively contribute to a broad range of school activities including student excursions camps and the marketing of our education programs to the catholic education office the education department and other stakeholders mackillop is committed to being a child safe organisation applicants will be required to undergo a criminal records checks and hold a valid employment working with children check to be successful for more information please contact justin roberts principal geelong at justin roberts mackillop org au or if you think you have the knowledge and skills to make a positive contribution to the lives of young people and our team then we want to hear from you how to apply click apply now where you will be redirected to the education support geelong vacancy within mackillop s careers page on this page please refer to the how to apply section at the bottom this will take you to our recruitment portal please address the key selection criteria as outlined in the position description within your cover letter as part of your application applications close march 
school cleaner nambour,Education,Queensland,2020-03-19,about the company cleanworks australia is one of australia s largest commercial cleaning companies we provide high quality ongoing one off and specialist cleaning services to businesses nationally across a wide range of industries we have been operational for the past years and we are growing rapidly unlike most large services cleanworks was founded and continues to be managed by people who started out as cleaners themselves now years onward we benefit from unique insights into the needs of both our customers and cleaners allowing us to more effectively train and motivate our cleaners ensure the quality of our work and build open effective relationships with our customers about the role cleanworks is currsently looking for school cleaners for nambour christian college we have permanent part time and casual roles to start next term you will be working in a team but responsible for you own area that could consist of classrooms bathrooms offices gyms pools and outside areas most sites are on the north side of brisbane but we also have some on the southside of brisbane all positions will be working during the afternoon part time and causal shift between pm to pm are availalbe requirements cleaning experience preferred but just a great attitude will do able to reliable and willing to work varied hours on different sites attention to details and take pride in your work working with children blue card or be willing to get one own reliable vehicle what s on offer award rates on going long term contracts unique awards program that includes holidays career progression opportunities how to apply please click the apply button to send through your resume please note that we do not accept any calls in the office regarding advertised roles and due to the number of applications received only successful applicants will be contacted 
school cleaner,Education,Queensland,2020-03-19,about the company cleanworks australia is one of australia s largest commercial cleaning companies we provide high quality ongoing one off and specialist cleaning services to businesses nationally across a wide range of industries we have been operational for the past years and we are growing rapidly unlike most large services cleanworks was founded and continues to be managed by people who started out as cleaners themselves now years onward we benefit from unique insights into the needs of both our customers and cleaners allowing us to more effectively train and motivate our cleaners ensure the quality of our work and build open effective relationships with our customers about the role cleanworks is currently seeking experienced school cleaners for a private school in wondunna you will be working in a team but responsible for you own area that could consist of classrooms bathrooms offices gyms pools and outside areas currently we have casual relief positions availalbe that have the potential to progress to permanent positions this will be an afternoon shift position anywhere between pm to pm mon to fri requirements minimum years cleaning experience previous experience cleaning commercial sites attention to details and take pride in your work working with children blue card or be willing to get one own reliable vehicle what s on offer award rates on going long term contracts unique awards program that includes holidays career progression opportunities how to apply please click the apply button to send through your resume please note that we do not accept any calls in the office regarding advertised roles and due to the number of applications received only successful applicants will be contacted 
teachers aide learning support ,Education,Victoria,2020-02-21, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper trinside font family times new roman times serif font size pt job template__wrapper table cellpadding tbody tr td job template__wrapper table cellpadding thead tr th padding px job template__wrapper table cellpadding tbody tr td job template__wrapper table cellpadding thead tr th padding px job template__wrapper hspace margin left px margin right px job template__wrapper vspace margin top px margin bottom px job template__wrapper bgcolor background color job template__wrapper bgcolor ffffff background color ffffff job template__wrapper border border width px border style solid job template__wrapper tempborder jobtitle color text align center margin padding px display block font size px line height em job template__wrapper tempborder templatetext job template__wrapper tempborder templatetext p color text align left font size px line height em job template__wrapper tempborder details color text align center padding top px font size px line height em an anglican school for boys established teachers aide learning support senior school middle school junior school prospect road summer hill nsw telephone international facsimile preparatory school the boulevarde strathfield nsw telephone international facsimile field studies centre woollamia road woollamia nsw telephone international facsimile these positions involve supporting the learning in the classroom and in small group settings across a wide range of nsw curriculum for stages and as well as hsc and ib diploma stage formal qualifications in learning support would be advantageous however the school has a strong focus on professional learning and will provide the required development for an outstanding practitioner enthusiastic professionals who identify with our christian ethos and culture will be highly regarded in order to obtain a full and detailed position description and an application form please click the apply now button below you will be re directed to the trinity grammar school website where you will find full details on how to apply renee culganhr trinity nsw edu au these positions involve supporting the learning in the classroom and in small group settings across a wide range of nsw curriculum for stages and as well as hsc and ib diploma stage formal qualifications in learning support would be advantageous however the school has a strong focus on professional learning and will provide the required development for an outstanding practitioner enthusiastic professionals who identify with our christian ethos and culture will be highly regarded 
school support officer,Education,New south wales,2020-03-12,full time fixed term year position located in east melbourne catholic education melbourne cem is a dynamic education service provider to catholic primary secondary and special schools in the archdiocese of melbourne more than staff work across the head office in east melbourne and four regional offices in the north east south and west cem provides services to schools in areas as diverse as curriculum re finance ict marketing and communications student wellbeing legal planning and industrial relations this community is committed to the safety wellbeing and protection of all children in our care about the position catholic education melbourne is in the process of building its capacity to deliver technology in support of schools and catholic education into the future a significant investment is being made in the integrated catholic online network icon project a collaborative project between victorian catholic schools and the four victorian catholic education offices in the archdiocese of melbourne and the dioceses of ballarat sale and sandhurst icon will build on the catholic tradition of working together to improve all schools by facilitating collaboration and pooling of resources and strategies to improve student learning across victorian catholic education to capitalise on and enhance the collective wisdom of catholic educators and administrators a core icon strategy is to implement enterprise student information system esis enterprise finance efin system and enterprise hr payroll ehr systems for victorian catholic schools and offices in this position you will be responsible for assist individual schools in learning and understanding the icon platform to ensure the introduction of best practice processes salary range for this position is per annum commensurate with skills and experience plus superannuation the school support officer will support schools in the use of the icon applications supporting schools in implementing the administration processes testing the icon solution against these processes liaise closely with the icon school consulting services icon shared services business advisory services and ir team to ensure a strong knowledge base for ongoing support of schools post the icon implementation phase assist and support reporting processes and analysis in schools throughout the region other duties as required by the executive director the successful applicant will have demonstrated experience in administration and accounting in a school or education setting experience using enterprise packages preferably technologyone or synergetic a current victorian driver s license and vehicle experience in school administration requirements preferable the successful applicant will also be subject to a working with children check and a criminal record check candidates must hold the appropriate working rights for australia to be considered for this position whats in it for you generous salary and conditions professional development opportunities work life balance how to apply further information about the position including a detailed position description and application requirements can be accessed via the job search tab on the cem website at www cem edu au and entering the position title in the keyword search field applicants need to provide a separate statement addressing the key selection criteria a cover letter an up to date curriculum vitae the contact details for two employment referees referees will only be contacted with your consent applications can be uploaded via the apply tab on the catholic education melbourne website all enquiries can be directed to the recruitment officer at recruitment cem edu au or applications close pm thursday march recruitment agencies thank you for thinking of us however we do endeavour to fill our opportunities through direct channels wherever possible if we find that we do need agency assistance we ll be in touch in applying for a position with catholic education melbourne cem you will be asked to provide certain personal information to enable your application to be considered any personal information that is provided to cem in relation to an application for employment will be handled in accordance with cem s obligations under the privacy act cth to find out more about how cem handles personal information you are encouraged to read the cem privacy policy which can be found on the website 
